"CEIN","RIRO","ARPA","CECO","CEPR","SYMO","CEVE"
0,625,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,3997.25,0
0,5625,0,0,0,1225,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,30.25,133.25,155640.75,0,0,0
4406,185.75,189.25,49,130.5,0,0
263.25,0,0,0,0,3237.25,0
118942,593.75,400,0,0,0,0
26390.75,0,0,0,0,0,0
1210.75,0,0,0,0,0,0
60394.25,0,0,0,0,0,0
8237.5,0,0,0,0,0,0
84372.5,0,0,0,0,0,0
593003.5,0,0,0,0,0,0
112706.25,0,12489.75,0,0,0,0
535450,0,4900,0,31937.5,0,0
574625,0,0,0,0,0,0
336537.5,0,0,0,0,0,0
284418.5,0,0,0,0,0,0
0,0,0,0,10000,0,0
75075,0,0,0,0,0,0
0,0,0,0,0,500,0
0,0,0,0,0,0,0
38531.25,4556.25,0,0,0,0,0
69700,32760.25,0,6100,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,441,0,115600,0,0
0,0,0,0,0,156.25,0
212836,2193.5,0,0,56.25,8412.5,0
0,0,0,0,0,0,0
0,0,281.25,317.5,387.25,0,0
0,0,0,164.25,0,0,0
0,0,0,0,0,0,0
203430.5,1406.25,182.25,0,18250,0,11025
0,0,4933.5,14468.75,0,662.5,0
0,40687.5,146248.5,552001,0,0,0
0,106.25,1056.25,106206.25,0,0,0
242331.25,2256.25,0,0,756.25,0,0
359656.25,3331.25,0,0,0,0,0
0,37858.5,15803.25,30265.25,863.5,256,0
0,1806.25,6485.25,140075,0,0,0
437125,0,0,0,2025,0,0
0,0,0,0,0,0,0
289743.25,2500,34225,0,0,0,0
0,35453.5,0,0,0,0,0
355456.25,0,0,0,0,0,0
0,756.25,251200,52900,0,0,0
0,0,85156.25,112275,0,0,0
53207,0,0,0,0,0,0
53743,366.25,0,0,0,0,0
265162.25,2181.25,109372.25,0,0,0,0
0,0,0,0,0,0,0
0,0,64,106087.5,0,0,0
0,0,0,92831.25,3181.25,0,0
217248.5,17475,6596,0,1225,0,3600
107981.25,19698,0,0,0,0,0
271161,0,0,0,0,0,0
123265.75,3392,156.25,0,0,79262.5,0
126356.25,0,0,0,1600,0,0
0,0,0,107225,0,0,0
410637.25,0,0,0,0,0,0
188962.5,6331.25,0,0,1225,0,0
0,0,1806.25,288014.75,0,0,0
0,0,0,660675,0,0,0
73449.25,0,0,0,0,0,0
0,10706.25,0,30631.25,0,0,0
0,0,12100,248662.5,0,0,0
0,53488.75,9025,115600,0,0,0
0,8956.25,24025,0,0,0,507225
467937.5,0,0,0,0,0,0
162550,0,23256.25,0,0,0,0
179024.75,0,0,0,0,0,0
481750,1806.25,84100,0,0,0,0
57825,14012.5,0,73531.25,0,0,9812.5
324544,1110.25,3612.5,0,0,0,0
0,0,185993.75,270487.5,0,0,0
167868.75,18146,2500,0,0,0,0
3506.25,0,0,108617.25,4466,0,0
0,12656.25,0,123900.25,0,0,0
169360.75,0,56.25,0,2025,0,0
313003.25,845.25,16238.5,0,0,0,0
502650,1056.25,0,0,0,0,0
412306.25,0,0,0,0,0,0
0,0,0,185970.91,2450.25,0,0
0,0,0,134154.25,0,0,0
0,0,0,257005.25,0,0,0
7225,2025,0,0,0,0,18700
51312.5,0,49,121370.5,0,0,0
506.25,0,106943.75,374562.5,0,0,0
