"CEIN","RIRO","QUKE","ARPA","CECO","ABCO","PILA","CEPR","PIPO","PSME","SYMO","CEVE"
0,0.07428537469543,0,0,0,0.555773459321329,0,0,0.0232958935044868,0.346645272478754,0,0
0,0,0.0779888063125057,0,0,0,0,0,0,0.922011193687494,0,0
0,0,0.0105074320861097,0,0,0.98949256791389,0,0,0,0,0,0
0,0,0.349745444801715,0,0,0.114717309753483,0,0,0,0,0.535537245444802,0
0,0.821167883211679,0,0,0,0,0,0,0,0,0.178832116788321,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0.000149734870281341,0.228782507007221,0.000659575916197972,0.7704081822063,0,0,0,0,0,0,0
0.888216913617579,0.0374458219937506,0,0.0381513960286261,0.00987803648825723,0,0,0.0263078318717871,0,0,0,0
0.0752035423510927,0,0,0,0,0,0,0,0,0,0.924796457648907,0
0.918614686852577,0.00458565914747287,0.00564953206968657,0.00308928616250804,0,0.0670954338419714,0.000965401925783762,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
0.803883318563005,0,0.107032875720611,0.0890838057163847,0,0,0,0,0,0,0,0
0.890653914128288,0,0.0480715251065599,0.00815053539869009,0,0,0,0.0531240253664622,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0295346857890525,0,0,0.411211747818244,0.0127030906619581,0.508123626478322,0,0.0384268492524231,0,0
0.812719891745602,0,0,0,0,0,0,0,0.182949932341001,0.00433017591339648,0,0
0,0,0,0,0,0.108658743633277,0.0424448217317487,0,0,0,0.848896434634975,0
0,0,0.0688219636003467,0,0,0.92894948619537,0.00222855020428377,0,0,0,0,0
0.612003001941732,0.0723682381858107,0,0,0,0.258965124266887,0.0566636356055703,0,0,0,0,0
0.560834895678272,0.263602458983416,0,0,0.0490831113864772,0.124669091318726,0,0,0,0.00181044263310777,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,0.00202910497447766,0.00349545036619004,0,0.0670615230969215,0,0.91626771503757,0.0111462065248407,0,0,0
0,0,0.948453608247423,0,0,0,0,0,0,0,0.0515463917525773,0
0.872710572957724,0.00899420512405217,0.0474107575777767,0,0,0,0.0342638826386419,0.000230646928756752,0.00189540520564993,0,0.0344945295673986,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,0.509940357852883,0.139786282306163,0.157803180914513,0,0,0.192470178926441,0,0,0,0
0,0,0.996288646023652,0,0.00313413825509119,0,0.000577215721257281,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0.703021433064009,0.00485976237705881,0,0.000629825204066822,0,0.0834367202781253,0.0368987717976542,0.0630689161822744,0.0699840340606706,0,0,0.0381005370361411
0,0,0.0924358040039439,0.211493119561024,0.620257641359798,0.0474128692073563,0,0,0,0,0.0284005658678784,0
0,0.0535014962338563,0.027161008438279,0.192307553227825,0.725846498865374,0,0,0,0.00118344323466595,0,0,0
0,0.000737993283392894,0.203470825823166,0.00733652146431759,0.737689403805614,0.0429703100960954,0.00434113696113467,0,0.00345380856627874,0,0,0
0.985895938941733,0.00917928542949902,0,0,0,0,0.00155107039113418,0.00307671339880715,0,0.000296991838827004,0,0
0.990822686731637,0.00917731326836324,0,0,0,0,0,0,0,0,0,0
0,0.441903083289075,0.00729530824136381,0.184463327944532,0.353270924403098,0,0,0.0100791978662682,0,0,0.00298815825566262,0
0,0.0117023568303701,0,0.0420167250569731,0.90751979682441,0.0191627105411915,0,0,0.0195984107470558,0,0,0
0.995388819310031,0,0,0,0,0,0,0.00461118068996926,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0
0.884116953318453,0.00762845168367557,0.00322302083635293,0.104433503549519,0,0,0.000598070612000165,0,0,0,0,0
0,0.426586531664456,0.132655915822151,0,0,0.440757552513393,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
0,0.00232808712048332,0,0.773309731788971,0.162850656097279,0.0582598991803594,0.00325162581290645,0,0,0,0,0
0,0,0,0.431006667080011,0.568264496691767,0.000728836228221905,0,0,0,0,0,0
0.992593836280875,0,0.00673457204686217,0,0,0,0.000671591672263264,0,0,0,0,0
