"CEIN","RIRO","QUKE","ARPA","CECO","ABCO","PILA","CEPR","PIPO","PSME","SYMO","CEVE"
0,625,0,0,0,4676,0,0,196,2916.5,0,0
0,0,850,0,0,0,0,0,0,10049,0,0
0,0,256.25,0,0,24131.25,0,0,0,0,0,0
0,0,2610.5,0,0,856.25,0,0,0,0,3997.25,0
0,5625,0,0,0,0,0,0,0,0,1225,0
0,0,1600,0,0,0,0,0,0,0,0,0
0,30.25,46219.5,133.25,155640.75,0,0,0,0,0,0,0
4406,185.75,0,189.25,49,0,0,130.5,0,0,0,0
263.25,0,0,0,0,0,0,0,0,0,3237.25,0
118942,593.75,731.5,400,0,8687.5,125,0,0,0,0,0
26390.75,0,0,0,0,0,0,0,0,0,0,0
1210.75,0,0,0,0,0,0,0,0,0,0,0
60394.25,0,0,0,0,0,0,0,0,0,0,0
8237.5,0,0,0,0,0,0,0,0,0,0,0
84372.5,0,0,0,0,0,0,0,0,0,0,0
593003.5,0,0,0,0,0,0,0,0,0,0,0
112706.25,0,15006.25,12489.75,0,0,0,0,0,0,0,0
535450,0,28900,4900,0,0,0,31937.5,0,0,0,0
574625,0,0,0,0,0,0,0,0,0,0,0
336537.5,0,0,0,0,0,0,0,0,0,0,0
284418.5,0,0,0,0,0,0,0,0,0,0,0
0,0,581.25,0,0,8092.75,250,10000,0,756.25,0,0
75075,0,0,0,0,0,0,0,16900,400,0,0
0,0,0,0,0,64,25,0,0,0,500,0
0,0,1111.75,0,0,15006.25,36,0,0,0,0,0
38531.25,4556.25,0,0,0,16304.25,3567.5,0,0,0,0,0
69700,32760.25,0,0,6100,15493.75,0,0,0,225,0,0
0,0,1811.5,0,0,0,0,0,0,0,0,0
0,0,121.5,0,0,0,0,0,0,0,0,0
0,0,256,441,0,8460.75,0,115600,1406.25,0,0,0
0,0,2875,0,0,0,0,0,0,0,156.25,0
212836,2193.5,11562.5,0,0,0,8356.25,56.25,462.25,0,8412.5,0
0,0,506.25,0,0,0,0,0,0,0,0,0
0,0,1026,281.25,317.5,0,0,387.25,0,0,0,0
0,0,52212.25,0,164.25,0,30.25,0,0,0,0,0
203430.5,1406.25,0,182.25,0,24143.75,10677.25,18250,20251,0,0,11025
0,0,2156.25,4933.5,14468.75,1106,0,0,0,0,662.5,0
0,40687.5,20655.75,146248.5,552001,0,0,0,900,0,0,0
0,106.25,29294,1056.25,106206.25,6186.5,625,0,497.25,0,0,0
242331.25,2256.25,0,0,0,0,381.25,756.25,0,73,0,0
359656.25,3331.25,0,0,0,0,0,0,0,0,0,0
0,37858.5,625,15803.25,30265.25,0,0,863.5,0,0,256,0
0,1806.25,0,6485.25,140075,2957.75,0,0,3025,0,0,0
437125,0,0,0,0,0,0,2025,0,0,0,0
0,0,0,0,0,0,0,0,36,0,0,0
289743.25,2500,1056.25,34225,0,0,196,0,0,0,0,0
0,35453.5,11025,0,0,36631.25,0,0,0,0,0,0
355456.25,0,0,0,0,0,0,0,0,0,0,0
0,756.25,0,251200,52900,18925,1056.25,0,0,0,0,0
0,0,0,85156.25,112275,144,0,0,0,0,0,0
53207,0,361,0,0,0,36,0,0,0,0,0
53743,366.25,0,0,0,0,52,0,0,0,0,0
265162.25,2181.25,0,109372.25,0,0,0,0,0,0,0,0
0,0,400,0,0,1181.25,100,0,0,25,0,0
0,0,0,64,106087.5,0,14562.5,0,0,0,0,0
0,0,182.25,0,92831.25,81,0,3181.25,0,225,0,0
217248.5,17475,0,6596,0,0,0,1225,0,0,0,3600
107981.25,19698,0,0,0,0,0,0,0,0,0,0
271161,0,0,0,0,0,0,0,0,0,0,0
123265.75,3392,0,156.25,0,0,0,0,0,0,79262.5,0
126356.25,0,6006.25,0,0,0,403.25,1600,0,0,0,0
0,0,0,0,107225,0,0,0,72.25,0,0,0
410637.25,0,0,0,0,0,0,0,0,0,0,0
188962.5,6331.25,0,0,0,0,72.25,1225,0,0,0,0
0,0,0,1806.25,288014.75,0,0,0,0,0,0,0
0,0,0,0,660675,0,0,0,0,0,0,0
73449.25,0,0,0,0,0,0,0,0,0,0,0
0,10706.25,0,0,30631.25,0,0,0,0,0,0,0
0,0,0,12100,248662.5,0,0,0,0,0,0,0
0,53488.75,0,9025,115600,47594.5,25921,0,0,62031.25,0,0
0,8956.25,12331.5,24025,0,0,0,0,0,0,0,507225
467937.5,0,0,0,0,0,0,0,0,0,0,0
162550,0,0,23256.25,0,0,0,0,0,0,0,0
179024.75,0,0,0,0,0,0,0,0,0,0,0
481750,1806.25,146.5,84100,0,6400,0,0,0,0,0,0
57825,14012.5,3025,0,73531.25,0,0,0,0,0,0,9812.5
324544,1110.25,0,3612.5,0,0,0,0,0,0,0,0
0,0,0,185993.75,270487.5,0,0,0,0,0,0,0
167868.75,18146,0,2500,0,0,0,0,0,0,0,0
3506.25,0,412.25,0,108617.25,0,0,4466,0,0,0,0
0,12656.25,0,0,123900.25,0,0,0,0,0,0,0
169360.75,0,0,56.25,0,0,0,2025,0,0,0,0
313003.25,845.25,1980.25,16238.5,0,0,0,0,25,0,0,0
502650,1056.25,0,0,0,0,0,0,0,0,0,0
412306.25,0,1432.25,0,0,0,0,0,0,0,0,0
0,0,0,0,185970.91,0,0,2450.25,0,0,0,0
0,0,0,0,134154.25,0,0,0,0,0,0,0
0,0,0,0,257005.25,0,0,0,0,0,0,0
7225,2025,0,0,0,0,0,0,0,0,0,18700
51312.5,0,0,49,121370.5,0,0,0,0,0,0,0
506.25,0,0,106943.75,374562.5,0,0,0,0,0,0,0
