"CEIN","RIRO","QUKE","ARPA","CECO","ABCO","PILA","CEPR","PIPO","PSME","SYMO","CEVE"
0,15,0,0,0,111,0,0,5,69,0,0
0,0,16,0,0,0,0,0,0,184,0,0
0,0,2,0,0,198,0,0,0,0,0,0
0,0,70,0,0,23,0,0,0,0,107,0
0,164,0,0,0,0,0,0,0,0,36,0
0,0,200,0,0,0,0,0,0,0,0,0
0,0,46,0,154,0,0,0,0,0,0,0
178,7,0,8,2,0,0,5,0,0,0,0
15,0,0,0,0,0,0,0,0,0,185,0
184,1,1,1,0,13,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0
161,0,21,18,0,0,0,0,0,0,0,0
178,0,10,2,0,0,0,11,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,82,3,102,0,8,0,0
163,0,0,0,0,0,0,0,37,1,0,0
0,0,0,0,0,22,8,0,0,0,170,0
0,0,14,0,0,186,0,0,0,0,0,0
122,14,0,0,0,52,11,0,0,0,0,0
112,53,0,0,10,25,0,0,0,0,0,0
0,0,200,0,0,0,0,0,0,0,0,0
0,0,200,0,0,0,0,0,0,0,0,0
0,0,0,1,0,13,0,183,2,0,0,0
0,0,190,0,0,0,0,0,0,0,10,0
175,2,9,0,0,0,7,0,0,0,7,0
0,0,200,0,0,0,0,0,0,0,0,0
0,0,102,28,32,0,0,38,0,0,0,0
0,0,199,0,1,0,0,0,0,0,0,0
141,1,0,0,0,17,7,13,14,0,0,8
0,0,18,42,124,9,0,0,0,0,6,0
0,11,5,38,145,0,0,0,0,0,0,0
0,0,41,1,148,9,1,0,1,0,0,0
197,2,0,0,0,0,0,1,0,0,0,0
198,2,0,0,0,0,0,0,0,0,0,0
0,88,1,37,71,0,0,2,0,0,1,0
0,2,0,8,182,4,0,0,4,0,0,0
199,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,200,0,0,0
177,2,1,21,0,0,0,0,0,0,0,0
0,85,27,0,0,88,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0
0,0,0,155,33,12,1,0,0,0,0,0
0,0,0,86,114,0,0,0,0,0,0,0
199,0,1,0,0,0,0,0,0,0,0,0
198,1,0,0,0,0,0,0,0,0,0,0
141,1,0,58,0,0,0,0,0,0,0,0
0,0,47,0,0,138,12,0,0,3,0,0
0,0,0,0,176,0,24,0,0,0,0,0
0,0,0,0,192,0,0,7,0,0,0,0
177,14,0,5,0,0,0,1,0,0,0,3
169,31,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0
120,3,0,0,0,0,0,0,0,0,77,0
188,0,9,0,0,0,1,2,0,0,0,0
0,0,0,0,200,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0
192,6,0,0,0,0,0,1,0,0,0,0
0,0,0,1,199,0,0,0,0,0,0,0
0,0,0,0,200,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0
0,52,0,0,148,0,0,0,0,0,0,0
0,0,0,9,191,0,0,0,0,0,0,0
0,34,0,6,74,30,17,0,0,40,0,0
0,3,4,9,0,0,0,0,0,0,0,184
200,0,0,0,0,0,0,0,0,0,0,0
175,0,0,25,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0
168,1,0,29,0,2,0,0,0,0,0,0
73,18,4,0,93,0,0,0,0,0,0,12
197,1,0,2,0,0,0,0,0,0,0,0
0,0,0,81,119,0,0,0,0,0,0,0
178,19,0,3,0,0,0,0,0,0,0,0
6,0,1,0,186,0,0,8,0,0,0,0
0,19,0,0,181,0,0,0,0,0,0,0
198,0,0,0,0,0,0,2,0,0,0,0
189,1,1,10,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0
199,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,197,0,0,3,0,0,0,0
0,0,0,0,200,0,0,0,0,0,0,0
0,0,0,0,200,0,0,0,0,0,0,0
52,14,0,0,0,0,0,0,0,0,0,134
59,0,0,0,141,0,0,0,0,0,0,0
0,0,0,44,155,0,0,0,0,0,0,0
