plot,Spp,dist,azim,ht,crown w1,crown w2,crown area,herb cover,# planted
1.1.1,AMUT,3.2,157,2,25,25,625,,
1.1.1,PIPO,1.5,190,2,14,14,196,,
1.1.1,PIMO,2.2,243,1,12,13,156.25,,
1.1.1,ABCO,2.1,242,1,15,12,182.25,,
1.1.1,ABCO,3.8,253,1,25,20,506.25,,
1.1.1,PSME,4,252,1,15,14,210.25,,
1.1.1,ABCO,3.4,262,1,35,35,1225,,
1.1.1,AMUT,3.4,269,1,40,40,1600,,
1.1.1,ABCO,3.6,269,1,25,20,506.25,,
1.1.1,RIRO,3.8,269,1,25,25,625,,
1.1.1,AMUT,4,271,1,30,35,1056.25,,
1.1.1,PIMO,3,290,1,12,12,144,,
1.1.1,ABCO,3.8,305,3,50,45,2256.25,,
1.1.1,PSME,0.6,346,2,35,25,900,,
1.1.1,AMUT,3.3,355,3,55,120,7656.25,,
1.1.1,PSME,0.8,52,2,40,45,1806.25,,
1.1.1,gram,,,,,,0,1,
1.1.1,forb,,,,,,0,1,
1.1.2,QUCH,2,306,4,85,80,6806.25,,
1.1.2,PSME,3.2,304,4,110,90,10000,,
1.1.2,QUKE,3.4,321,1,25,25,625,,
1.1.2,PIMO,4.1,306,3,70,55,3906.25,,
1.1.2,CADE,4,317,3,55,35,2025,,
1.1.2,QUKE,3.1,248,1,15,15,225,,
1.1.2,PSME,3.2,240,1,8,6,49,,
1.1.2,QUCH,2.8,123,1,15,12,182.25,,
1.1.2,forb,,,,,,0,1,
1.1.2,gram,,,,,,0,1,
1.1.3,ABCO,0.6,104,3,75,50,3906.25,,
1.1.3,ABCO,3.1,125,4,140,80,12100,,
1.1.3,ABCO,3.7,125,3,40,60,2500,,
1.1.3,ABCO,3.1,214,3,60,90,5625,,
1.1.3,QUKE,3.1,206,1,10,10,100,,
1.1.3,QUKE,3.7,208,1,15,10,156.25,,
1.1.3,forb,,,,,,0,0,
1.1.3,gram,,,,,,0,0,
1.1.4,RHPU,3.3,160,3,60,80,4900,,
1.1.4,RHPU,2.6,172,2,60,70,4225,,
1.1.4,RHPU,0.7,20,1,20,10,225,,
1.1.4,QUKE,2,246,1,10,5,56.25,,
1.1.4,SYMO,3.8,220,1,5,10,56.25,,
1.1.4,QUKE,3.8,220,1,10,10,100,,
1.1.4,RHPU,4.1,220,3,80,90,7225,,
1.1.4,QUKE,3.8,228,1,15,10,156.25,,
1.1.4,RHPU,3.2,255,3,40,20,900,,
1.1.4,RHPU,3.2,260,4,40,60,2500,,
1.1.4,SYMO,3.4,260,1,5,5,25,,
1.1.4,RHPU,3.3,265,4,80,90,7225,,
1.1.4,RHPU,4,261,1,20,40,900,,
1.1.4,SYMO,3.8,267,1,5,10,56.25,,
1.1.4,SYMO,3.9,270,1,20,10,225,,
1.1.4,CHSE,3,278,2,15,15,225,,
1.1.4,RHPU,2.6,278,4,120,80,10000,,
1.1.4,QUKE,3.3,278,1,10,15,156.25,,
1.1.4,CHSE,3.2,284,2,15,10,156.25,,
1.1.4,QUKE,3.2,284,2,20,20,400,,
1.1.4,QUKE,3.2,284,1,10,12,121,,
1.1.4,QUKE,3,286,2,20,10,225,,
1.1.4,QUKE,3,287,1,10,10,100,,
1.1.4,RHPU,3.2,300,3,70,70,4900,,
1.1.4,QUKE,3,300,1,5,5,25,,
1.1.4,QUKE,4,305,1,10,15,156.25,,
1.1.4,RHPU,3.6,313,1,20,15,306.25,,
1.1.4,SYMO,3.7,315,1,5,10,56.25,,
1.1.4,RHPU,4,327,3,50,100,5625,,
1.1.4,SYMO,3.4,333,2,50,40,2025,,
1.1.4,SYMO,2.8,333,1,15,15,225,,
1.1.4,QUKE,3,333,1,10,10,100,,
1.1.4,RHPU,3.5,340,3,170,80,15625,,
1.1.4,NODE,3.7,344,1,10,15,156.25,,
1.1.4,SYMO,3.9,340,1,15,10,156.25,,
1.1.4,RHPU,1.8,333,2,50,30,1600,,
1.1.4,QUKE,2.4,340,1,9,14,132.25,,
1.1.4,RHPU,1.9,347,1,15,20,306.25,,
1.1.4,RHPU,1.6,350,1,10,10,100,,
1.1.4,QUKE,1.4,353,1,10,5,56.25,,
1.1.4,SYMO,2.4,8,1,3,5,16,,
1.1.4,QUKE,3.2,8,2,10,20,225,,
1.1.4,QUKE,3.7,6,1,3,10,42.25,,
1.1.4,RHPU,3.7,3,4,10,40,625,,
1.1.4,RHPU,3,25,3,95,110,10506.25,,
1.1.4,QUKE,2.6,32,1,6,10,64,,
1.1.4,RHPU,2.8,43,1,15,20,306.25,,
1.1.4,QUKE,3.4,25,1,10,5,56.25,,
1.1.4,QUKE,3.9,25,1,7,11,81,,
1.1.4,RHPU,4,66,1,20,25,506.25,,
1.1.4,QUKE,3.6,66,1,5,5,25,,
1.1.4,RHPU,3.6,81,1,20,15,306.25,,
1.1.4,QUKE,3.5,81,1,4,5,20.25,,
1.1.4,QUKE,3.3,83,1,10,10,100,,
1.1.4,QUKE,1.7,81,1,15,5,100,,
1.1.4,QUKE,1.8,80,1,10,10,100,,
1.1.4,RHPU,2.7,100,1,15,25,400,,
1.1.4,SYMO,3.1,100,1,10,10,100,,
1.1.4,SYMO,3.9,100,1,35,30,1056.25,,
1.1.4,ABCO,3.3,103,2,30,25,756.25,,
1.1.4,QUKE,3.4,112,1,2,5,12.25,,
1.1.4,ABCO,3.6,115,1,10,10,100,,
1.1.4,gram,,,,,,0,0,
1.1.4,forb,,,,,,0,0,
1.2.1,SYMO,0.8,50,1,40,30,1225,,
1.2.1,CONU,2.9,2.9,5,500,510,255025,,
1.2.1,RIRO,3.9,244,2,70,80,5625,,
1.2.1,forb,,,,,,0,2,
1.2.1,gram,,,,,,0,1,
1.2.2,,,,,,,0,,
1.2.2,gram,,,,,,0,1,
1.2.2,forbs,,,,,,0,1,
1.2.3,QUKE,3,289,2,30,50,1600,,
1.2.3,forb,,,,,,0,0,
1.2.3,gram,,,,,,0,0,
1.2.4,QUKE,4.1,360,1,13,16,210.25,,
1.2.4,RIRO,3.5,360,1,6,5,30.25,,
1.2.4,QUKE,2.6,360,1,20,30,625,,
1.2.4,QUKE,2.6,5,1,22,40,961,,
1.2.4,QUKE,2.7,35,2,30,26,784,,
1.2.4,QUKE,2.1,22,1,16,12,196,,
1.2.4,QUKE,1.5,23,1,12,14,169,,
1.2.4,QUKE,0.7,13,1,20,35,756.25,,
1.2.4,QUKE,1,48,1,20,14,289,,
1.2.4,QUKE,2.8,45,1,22,15,342.25,,
1.2.4,CECO,3.7,58,3,160,234,38809,,
1.2.4,QUKE,1.7,69,1,10,12,121,,
1.2.4,QUKE,1.5,73,1,22,20,441,,
1.2.4,QUKE,1.4,67,1,12,10,121,,
1.2.4,QUKE,1.9,95,1,18,18,324,,
1.2.4,QUKE,1.9,92,1,21,10,240.25,,
1.2.4,QUKE,1.5,92,1,11,20,240.25,,
1.2.4,QUKE,3.7,84,1,15,12,182.25,,
1.2.4,CECO,3.4,78,2,90,50,4900,,
1.2.4,QUKE,3.3,73,1,15,18,272.25,,
1.2.4,QUKE,2.9,73,1,11,18,210.25,,
1.2.4,QUKE,2.5,73,1,25,22,552.25,,
1.2.4,QUKE,2.9,112,1,17,16,272.25,,
1.2.4,QUKE,5.2,148,1,15,20,306.25,,
1.2.4,QUKE,2.3,137,1,18,15,272.25,,
1.2.4,QUKE,1.8,148,1,20,10,225,,
1.2.4,QUKE,1.8,135,1,10,10,100,,
1.2.4,QUKE,1.3,126,1,14,16,225,,
1.2.4,QUKE,1.6,153,1,20,25,506.25,,
1.2.4,QUKE,0.4,164,1,20,18,361,,
1.2.4,QUKE,4,189,1,8,12,100,,
1.2.4,QUKE,4.1,191,1,15,20,306.25,,
1.2.4,CECO,4,212,3,270,234,63504,,
1.2.4,QUKE,3.8,246,1,35,22,812.25,,
1.2.4,QUKE,3.7,260,1,13,15,196,,
1.2.4,CECO,3.1,290,2,100,115,11556.25,,
1.2.4,QUKE,1.9,267,1,20,17,342.25,,
1.2.4,QUKE,1.3,283,1,11,10,110.25,,
1.2.4,CECO,2.7,304,1,2,4,9,,
1.2.4,QUKE,1.5,315,1,30,27,812.25,,
1.2.4,QUKE,1.2,345,1,25,15,400,,
1.2.4,CECO,1.3,345,1,95,50,5256.25,,
1.2.4,QUKE,2.5,330,1,20,10,225,,
1.2.4,QUKE,2.6,330,1,10,12,121,,
1.2.4,CECO,2.6,333,1,65,65,4225,,
1.2.4,ARPA,3.3,326,1,5,12,72.25,,
1.2.4,QUKE,3.7,326,2,216,150,33489,,
1.2.4,CECO,4.1,348,3,150,180,27225,,
1.2.4,ARPA,3.9,5,1,7,5,36,,
1.2.4,ARPA,3.8,5,1,5,5,25,,
1.2.4,CECO,3.1,3,1,20,5,156.25,,
1.2.4,forb,,,,,,0,1,
1.2.4,gram,,,,,,0,1,
1.2.5,CEIN,3.3,4,1,30,30,900,,
1.2.5,CEIN,3.4,19,2,7,40,552.25,,
1.2.5,CEIN,1.8,10,1,11,6,72.25,,
1.2.5,CEIN,3.9,20,1,8,10,81,,
1.2.5,CEIN,4,23,1,10,20,225,,
1.2.5,RIRO,1.8,39,1,3,3,9,,
1.2.5,CEIN,1.4,5,1,3,3,9,,
1.2.5,CECO,3.1,6,1,8,6,49,,
1.2.5,CEPR,3.6,27,1,4,5,20.25,,
