Plot,storrie_rdnbr,chips_rdnbr
1.1.1,198,207
1.1.2,0,0
1.1.3,0,0
1.1.4,0,0
1.2.1,59,56
1.2.2,130,36
1.2.3,190,50
1.2.4,685,437
1.2.5,168,332
1.2.6,109,92
1.3.1,110,250
1.3.2,68,577
1.3.3,207,137
1.3.4,-103,600
1.3.5,-2,509
1.3.6,21,581
1.4.1,-84,954
1.4.2,49,789
1.4.3,23,1055
1.4.4,2,869
1.4.5,40,1014
1.4.6,-106,875
2.1.1,399,77
2.1.2,130,433
2.1.3,333,65
2.1.4,164,200
2.1.5,152,39
2.1.6,285,121
2.2.1,50,101
2.2.2,37,121
2.2.3,227,36
2.2.4,130,272
2.2.5,335,175
2.2.6,148,108
2.3.1,286,339
2.3.2,392,167
2.3.3,261,119
2.3.4,413,187
2.3.5,555,301
2.3.6,513,614
2.4.1,572,672
2.4.2,481,719
2.4.3,354,725
2.4.4,597,614
2.4.5,229,680
2.4.6,338,751
3.1.1,250,53
3.1.2,709,88
3.1.3,493,-96
3.1.4,728,0
3.1.5,383,97
3.1.6,565,50
3.2.1,434,182
3.2.2,144,389
3.2.3,144,389
3.2.4,404,179
3.2.5,538,867
3.2.6,547,561
3.3.2,576,452
3.3.3,576,452
3.3.4,628,400
3.3.5,783,654
3.3.6,828,556
3.4.1,591,764
3.4.2,691,673
3.4.3,312,630
3.4.4,861,819
3.4.5,685,694
3.4.6,1000,670
4.1.1,1220,-140
4.1.2,731,20
4.1.3,698,-43
4.1.4,1016,-453
4.1.5,737,0
4.1.6,883,0
4.2.1,802,501
4.2.2,881,-162
4.2.3,716,475
4.2.4,823,590
4.2.5,1064,676
4.2.6,793,472
4.3.1,1001,605
4.3.2,485,819
4.3.3,747,640
4.3.4,707,442
4.3.5,1048,810
4.3.6,897,706
4.4.1,1037,891
4.4.2,1097,810
4.4.3,892,726
4.4.4,756,662
4.4.5,757,819
4.4.6,870,597
